,Antartica,Cabo de Hornos,Laguna Blanca,Natales,Porvenir,Primavera,Punta Arenas,Rio Verde,San Gregorio,Timaukel,Torres del Paine,Desconocido Magallanes
2020-04-01,0.0,1.0,0.0,4.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,0.0,0.0,0.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,0.0,4.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.0,2.0,0.0,1.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,0.0,5.0,0.0,0.0,4.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,1.0,1.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,0.0,-1.0,0.0,-1.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,0.0,0.0,0.0,1.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,0.0,2.0,0.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0
2020-05-08,0.0,0.0,0.0,1.0,1.0,0.0,81.0,0.0,1.0,0.0,0.0,0.0
2020-05-11,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-1.0,0.0
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,0.0,1.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0
2020-05-25,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,0.0,0.0,-1.0,1.0,0.0,0.0,31.0,0.0,-1.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,0.0,-1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0,1.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,0.0,0.0,0.0,0.0,1.0,0.0,67.0,0.0,0.0,0.0,0.0,69.0
2020-06-23,0.0,0.0,0.0,7.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,0.0,0.0,0.0,17.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,-1.0
2020-07-01,0.0,1.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
